label,max_temp,min_temp,max_wind_speed,min_wind_speed,precipitation_sum,par_total,root_zone_soil_wetness,surface_soil_wetness,humidity,earth_skin_temp
Blast,38.5511,10.4504,5.5787,0.0849,49.7385,8.2244,0.4742,0.4339,12.4922,25.0067
Leaf-folder Injury,36.5195,11.2163,5.9779,0.0389,125.3684,8.1222,0.5077,0.4794,12.0077,23.893
Healthy,40.8919,5.4956,7.7528,0.019,132.5534,7.6247,0.4166,0.3741,7.3669,22.4
Blast,41.1596,5.6039,7.9105,0.0187,130.7272,7.5867,0.4238,0.3713,7.2418,22.4297
Tungro,40.9,5.5265,7.8459,0.0201,144.8489,7.6024,0.4191,0.3688,7.3121,22.3432
Leaf-folder Injury,43.0407,8.0936,4.0735,0.0367,216.1065,7.0914,0.5413,0.4561,10.5915,25.0358
Blast,36.5497,11.3813,5.8946,0.1015,232.8644,7.7995,0.4609,0.4316,11.8691,24.4141
Blast,42.6262,6.4884,7.2019,0.008,64.8367,7.5087,0.4022,0.3425,7.5099,23.4929
Blast,39.3268,7.0368,7.7193,0.0041,285.3254,6.6415,0.5505,0.5586,10.5549,21.7199
Stripes,41.0194,5.7309,7.7989,0.0196,115.3952,7.5879,0.4179,0.3683,7.0917,22.3529
Scald,38.9112,6.4554,5.5827,0.037,200.8366,6.9924,0.4512,0.4047,8.9831,24.4218
Leaf-folder Injury,41.7715,5.9078,6.5218,0.0367,80.2111,7.6105,0.3588,0.2579,5.9063,22.9273
Insect Infestation,43.259,7.5963,5.6146,0.083,137.2269,6.9365,0.5342,0.5106,10.4693,23.5488
Blast,40.8272,5.5224,7.6251,0.0208,121.595,7.6111,0.4171,0.3681,7.2093,22.3962
Insect Infestation,40.681,5.943,7.2547,0.0215,102.3107,7.3015,0.4249,0.3924,7.8986,22.201
Healthy,38.0625,7.6729,0.9019,0.0095,173.7444,7.67,0.4744,0.4651,10.1022,21.6502
Scald,40.5998,5.5211,7.6344,0.0213,123.2606,7.5493,0.4127,0.3639,7.1296,22.294
Tungro,36.6707,10.7015,5.3803,0.045,170.1712,7.9677,0.4677,0.432,11.5234,24.1313
Blast,38.9439,7.1569,4.2589,0.0372,478.368,7.658,0.4854,0.4656,10.0069,22.0363
Blast,42.0083,6.3441,5.3633,0.0049,166.0877,8.0793,0.5101,0.3982,10.5538,25.2352
Blast,36.1223,6.827,3.4354,0.0823,405.4899,7.6889,0.5725,0.5791,10.7239,21.6959
Stripes,36.3779,7.4073,4.4193,0.0564,729.1874,7.07,0.5757,0.5794,12.5821,23.2762
Healthy,38.1714,5.31,4.4021,0.037,268.422,7.5815,0.6103,0.5711,11.077,23.1888
Leaf-folder Injury,40.9697,7.2787,4.8467,0.0205,458.0728,7.4792,0.6566,0.6327,11.3542,22.3664
Healthy,38.594,7.0839,7.3921,0.0109,271.0099,6.698,0.5452,0.5447,10.5762,21.2987
Tungro,42.3051,7.0741,8.026,0.0019,133.0755,7.0573,0.4405,0.4138,8.6111,22.4297
Blast,42.849,6.2431,7.6718,0.0101,62.1837,7.4787,0.409,0.3407,7.4166,23.5098
Blast,37.9376,10.8106,7.7707,0.0968,38.5965,7.8585,0.4475,0.4011,12.3994,24.813
Stripes,43.8485,7.0924,9.3199,0.0416,100.2705,6.9206,0.3916,0.3378,7.1809,24.797
Healthy,40.8921,5.5358,7.6547,0.0221,133.5061,7.5977,0.4144,0.366,7.2313,22.3756
Leaf-folder Injury,39.5929,6.2858,6.6886,0.0608,297.347,6.9558,0.4636,0.4511,9.1992,22.7665
Blast,42.1764,5.5085,6.3207,0.0776,143.0097,7.258,0.4654,0.4349,9.4,23.2784
Leaf-folder Injury,37.3948,7.3808,1.2755,0.011,122.6808,8.0701,0.4973,0.4878,10.3802,21.4254
Blast,42.7158,6.6207,7.2943,0.0082,67.0561,7.4171,0.4002,0.3458,7.4107,23.5879
Scald,43.5013,2.2051,6.8539,0.0192,80.9269,7.5155,0.4355,0.3533,7.1442,23.9018
Tungro,41.798,6.1385,6.6769,0.0383,77.5213,7.5826,0.3543,0.2609,5.9365,22.9329
Healthy,41.0835,5.5952,7.7945,0.0202,117.2774,7.5593,0.4169,0.3716,7.2879,22.4396
Healthy,39.2112,9.9257,6.8849,0.0189,155.3058,6.9828,0.6084,0.5792,13.1353,23.6237
Blast,35.8153,9.3354,1.3682,0.0256,236.0392,7.9889,0.4435,0.4335,9.576,20.9744
Blast,43.6448,3.0561,6.8538,0.0231,81.5672,7.4682,0.4311,0.3494,7.1694,23.8569
Healthy,42.8062,7.1781,7.4305,0.008,65.0939,7.4899,0.4097,0.3368,7.3928,23.5323
Blast,43.4657,2.7864,6.938,0.0234,84.848,7.4551,0.4314,0.3458,7.1113,24.0488
Healthy,43.6601,5.188,4.9367,0.086,164.5004,8.6865,0.4696,0.4197,7.6151,23.1746
Healthy,37.126,10.2385,6.6113,0.0123,202.13,7.722,0.4477,0.3984,12.5117,24.8077
Stripes,40.4757,6.261,7.1172,0.0172,101.2816,7.3311,0.4308,0.3893,7.9126,22.0414
Blast,37.713,9.5827,1.7548,0.0092,221.6567,8.2201,0.4746,0.4615,10.0642,21.9225
Healthy,36.8062,10.7818,5.8778,0.0139,195.2875,7.6217,0.4421,0.4024,12.1823,24.8569
Blast,38.0076,7.0738,3.8558,0.0189,269.6316,7.8501,0.5718,0.5712,10.7279,22.3447
Stripes,42.8216,3.0808,6.4835,0.0322,60.619,7.9074,0.489,0.3548,8.704,25.4641
Scald,40.8716,5.6354,7.7847,0.0204,117.815,7.5988,0.4231,0.377,7.2708,22.4036
Leaf-folder Injury,41.1215,5.5718,7.8087,0.0201,109.9302,7.6127,0.4194,0.3655,7.2788,22.433
Tungro,41.2434,7.852,5.6744,0.1301,148.0646,7.6932,0.5061,0.4015,9.6605,25.5267
Tungro,37.026,6.7413,6.2176,0.0691,162.6046,7.7028,0.506,0.489,10.2529,22.3962
Blast,40.9565,5.5733,7.5462,0.0199,128.586,7.5658,0.4154,0.3655,7.3323,22.3878
Insect Infestation,42.5773,7.4556,5.7108,0.1083,143.8545,8.9891,0.5028,0.4013,9.6896,24.9227
Blast,38.1675,10.7525,7.8584,0.0954,66.8101,7.8279,0.4525,0.392,12.5889,24.8636
Leaf-folder Injury,41.342,9.7841,5.451,0.0407,30.6362,7.984,0.4649,0.3998,11.3743,24.8156
Healthy,39.1864,6.2194,5.6879,0.0259,238.1364,6.8539,0.5774,0.567,10.2329,21.6152
Stripes,40.7828,5.6383,7.6791,0.0198,135.3338,7.5391,0.4174,0.3747,7.2533,22.4257
Tungro,38.0168,8.9784,1.0824,0.0088,120.5618,8.0695,0.4389,0.427,10.3708,22.3482
Healthy,43.2138,1.7655,6.8979,0.0212,86.3806,7.4055,0.4403,0.3417,7.1058,23.9199
Stripes,43.4833,7.3535,8.2814,0.049,37.0733,7.4451,0.443,0.3802,7.0789,22.894
Scald,38.6271,6.2578,6.9222,0.0135,86.5519,7.2357,0.432,0.3901,7.9353,22.0993
Tungro,40.62,5.5716,6.756,0.0838,111.6071,7.228,0.4402,0.3735,8.4322,23.838
Tungro,42.482,6.4904,7.6467,0.0111,65.5749,7.4525,0.4046,0.3419,7.4366,23.4773
Blast,38.9836,9.9766,6.6184,0.0178,141.1075,7.0723,0.5983,0.5989,13.1557,23.5061
Healthy,43.2624,2.4258,6.973,0.019,88.6225,7.5152,0.4368,0.3435,7.1731,23.7821
Healthy,37.7668,8.2955,5.0586,0.0594,479.6567,7.7281,0.5021,0.4931,10.8032,23.1824
Stripes,44.293,6.5023,6.566,0.0969,58.194,7.4555,0.4595,0.3944,7.855,24.3469
Healthy,40.9307,5.6148,7.6461,0.0211,129.9473,7.6162,0.4189,0.367,7.1902,22.2889
Scald,43.4802,2.1471,6.8761,0.0194,78.8157,7.4532,0.438,0.3559,7.0202,23.9518
Tungro,39.024,8.1219,8.9981,0.0152,97.8818,7.2763,0.4417,0.412,8.7879,23.2186
Leaf-folder Injury,38.2145,7.2227,3.9756,0.0162,265.6985,7.896,0.5586,0.5697,10.7503,21.9956
Stripes,38.9331,6.72,3.5911,0.0121,219.1238,7.8743,0.5351,0.5204,10.8509,22.1651
Healthy,42.5986,8.4851,6.0862,0.0357,110.361,8.045,0.4909,0.3599,9.2513,25.4098
Leaf-folder Injury,40.9597,5.5729,7.537,0.0215,129.8313,7.581,0.4146,0.3759,7.279,22.4288
Tungro,40.9177,5.5582,7.7358,0.0201,125.8627,7.5562,0.4196,0.3711,7.4661,22.3819
Tungro,41.0182,5.6393,7.764,0.0214,129.9142,7.5888,0.4214,0.378,7.2816,22.3048
Scald,40.9942,5.5368,7.5931,0.0179,126.6072,7.5618,0.417,0.3727,7.2121,22.2088
Blast,40.8889,5.6834,7.5927,0.0218,118.5197,7.6221,0.4142,0.3679,7.3725,22.3667
Blast,40.951,5.6247,7.7879,0.0224,140.6081,7.5696,0.4191,0.3752,7.2662,22.4969
Scald,38.1851,7.3336,3.9021,0.0383,445.6806,7.6207,0.4775,0.4792,10.224,22.2978
Healthy,41.0105,5.6648,7.5455,0.0191,140.2551,7.5752,0.4112,0.3649,7.3375,22.3354
Healthy,43.4133,7.7874,8.2761,0.0465,36.6457,7.4498,0.4369,0.385,7.0163,22.9931
Leaf-folder Injury,41.338,5.3907,5.996,0.061,109.7359,7.9285,0.5294,0.4409,9.8985,24.8158
Leaf-folder Injury,37.9779,9.2482,0.9995,0.0109,129.6844,8.2629,0.4366,0.43,10.2393,22.2998
Scald,41.1213,5.6226,7.7091,0.0206,121.3006,7.6095,0.4119,0.3733,7.3085,22.3948
Blast,43.7069,7.5125,7.0791,0.0256,103.7688,7.9613,0.4976,0.3622,10.2461,25.7074
Healthy,37.985,7.2796,3.7716,0.0144,268.8806,7.8889,0.5718,0.5698,11.0938,22.5304
Stripes,42.6141,6.611,7.3928,0.0102,66.2936,7.4737,0.4161,0.3416,7.5136,23.565
Blast,41.9268,9.9241,4.5841,0.0116,172.645,7.995,0.4802,0.46,10.0683,23.343
Blast,38.1205,7.8996,4.5445,0.0279,406.5761,7.5814,0.6029,0.6021,10.7444,21.3381
Leaf-folder Injury,43.1969,1.6156,8.5765,0.0106,108.9306,7.6737,0.3981,0.3276,6.5283,23.2518
Tungro,37.0946,11.1125,6.017,0.0574,377.3793,8.0387,0.5279,0.5158,12.4974,23.3869
Blast,37.4103,9.8981,1.5066,0.0179,135.4579,8.6588,0.4285,0.4011,9.3068,21.944
Scald,40.8107,5.6749,7.7896,0.0184,124.2578,7.5848,0.4225,0.3718,7.3108,22.4784
Scald,38.5917,6.2499,5.0448,0.0391,193.2025,6.706,0.4558,0.4053,9.1557,24.4803
Healthy,36.8732,6.4161,6.7171,0.0398,306.3385,7.052,0.5127,0.5022,9.4946,20.9431
Scald,39.3545,7.9865,7.2396,0.0493,160.4835,7.555,0.4076,0.3676,8.2585,23.0497
Insect Infestation,43.0678,9.1029,5.0809,0.0333,119.6914,8.1803,0.5029,0.3932,10.5928,26.2135
Healthy,38.0571,11.7169,6.5449,0.047,147.2314,7.9029,0.5158,0.4746,12.7403,24.351
Scald,41.1268,5.6377,7.644,0.0209,130.6824,7.5932,0.4169,0.364,7.3462,22.371
Blast,39.0098,7.1521,5.7745,0.0188,49.3425,7.9879,0.4381,0.3724,10.9338,24.4003
Blast,38.2459,7.5863,1.4046,0.0118,120.8397,8.0615,0.4929,0.4845,10.3237,21.4123
Insect Infestation,36.9086,8.9114,4.5673,0.0376,509.5375,7.5093,0.5211,0.5125,10.9644,23.1021
Healthy,43.5507,7.1202,8.0034,0.0509,36.9263,7.4131,0.4365,0.382,7.1239,22.9315
Leaf-folder Injury,33.4672,9.169,1.1542,0.0221,760.2923,7.9394,0.5587,0.5968,11.7263,21.3594
Blast,43.176,2.5041,6.764,0.016,82.4773,7.4546,0.4358,0.3482,7.1787,23.9526
Healthy,38.5107,7.9907,4.0015,0.0644,284.0346,7.7716,0.5161,0.4873,10.6942,23.0194
Scald,41.0395,5.6118,7.9918,0.0216,128.2677,7.5962,0.4176,0.37,7.377,22.3612
Scald,43.1931,1.606,8.3091,0.0104,110.0045,7.6049,0.4002,0.3219,6.5627,23.0712
Insect Infestation,40.5242,6.4764,7.0774,0.0168,103.7265,7.3246,0.4263,0.3966,7.8999,22.2636
Leaf-folder Injury,42.5455,3.4069,6.4677,0.0366,69.3433,8.0376,0.4924,0.3558,8.7966,25.5573
Blast,43.3908,1.8183,8.4697,0.0128,109.4815,7.6067,0.4014,0.3227,6.6401,23.4382
Leaf-folder Injury,41.2861,6.8722,4.7786,0.0492,163.2051,7.5578,0.4627,0.4133,8.6867,24.1966
Scald,36.436,10.9734,5.9125,0.0583,341.2048,8.0445,0.5464,0.5309,12.7886,23.429
Leaf-folder Injury,41.782,5.7004,6.4585,0.0377,82.5447,7.5542,0.3581,0.2607,5.9302,22.8269
Scald,41.0544,5.6348,7.6616,0.0209,123.5063,7.6071,0.4143,0.3722,7.2549,22.3584
Blast,43.4003,5.12,5.7742,0.0926,161.167,8.6049,0.4702,0.418,8.0706,23.2994
Blast,40.8455,5.5673,7.6197,0.0193,123.6033,7.5729,0.4175,0.3717,7.2901,22.4876
Tungro,36.9045,7.4367,1.7624,0,257.1213,7.8175,0.4391,0.4076,9.4642,21.8448
Tungro,41.1505,9.9635,6.4444,0.0398,50.9145,7.9629,0.4657,0.4055,11.8666,24.8523
Tungro,37.4524,6.2896,6.502,0.047,310.34,7.0129,0.5195,0.503,9.4002,21.0349
Healthy,36.7314,10.9848,7.0168,0.0887,149.9325,8.0155,0.4559,0.4083,12.7006,24.9077
Healthy,43.2491,1.8042,6.8011,0.0183,82.7164,7.4227,0.4356,0.3499,7.1857,24.1201
Stripes,44.1921,6.9361,5.8038,0.0293,144.9696,7.4005,0.4459,0.3938,9.0735,24.1439
Tungro,38.5861,10.1052,5.6765,0.0811,64.8184,8.1107,0.474,0.4288,12.3183,24.966
Leaf-folder Injury,33.6087,6.3228,3.9175,0.0285,638.4961,7.4538,0.6905,0.7108,12.1248,21.2751
Blast,36.7699,8.1687,1.0736,0.0041,188.1337,7.2568,0.4701,0.4684,11.8858,22.5558
Healthy,43.2443,2.1253,7.0778,0.0214,87.4093,7.454,0.4313,0.3495,7.1261,24.0242
Healthy,36.3731,10.0153,6.3179,0.0856,163.2364,8.9225,0.4786,0.4373,11.6376,23.8619
Healthy,39.4168,10.0679,5.403,0.0074,79.3905,7.8611,0.519,0.4752,12.4549,23.7446
Stripes,43.7302,7.5704,8.116,0.0518,37.7826,7.445,0.4393,0.3838,6.9926,22.8333
Leaf-folder Injury,43.4348,2.0802,6.6371,0.0153,82.5557,7.4668,0.4336,0.3408,7.1734,23.8432
Stripes,40.8963,5.6115,7.5329,0.0199,123.6912,7.6401,0.414,0.3808,7.2708,22.3761
Healthy,38.0103,7.6163,1.6194,0.0084,176.1729,7.7263,0.4742,0.4685,10.1977,21.6963
Blast,39.4839,7.8409,9.4932,0.0064,93.9548,7.3925,0.4378,0.4067,8.6421,23.4073
Scald,41.6485,6.0149,6.5462,0.0421,78.7934,7.6045,0.357,0.2614,5.8934,22.7831
Insect Infestation,43.4853,2.2216,7.0502,0.0215,84.11,7.4327,0.4251,0.3377,7.1005,23.9932
Insect Infestation,43.6457,7.2591,9.3262,0.039,96.1536,6.9588,0.3932,0.3419,7.2917,24.7662
Insect Infestation,36.9134,8.5397,3.7034,0.0542,365.1779,7.8549,0.5342,0.5219,10.9342,22.2227
Stripes,38.3429,8.9823,1.4171,0,104.6274,8.4251,0.4209,0.3808,9.3611,22.0345
Scald,41.0337,5.5214,7.7761,0.0208,115.7128,7.5894,0.4196,0.3663,7.203,22.3798
Leaf-folder Injury,43.6867,6.9467,9.0445,0.0401,102.8243,6.9418,0.405,0.3387,7.3707,24.9036
Blast,41.0299,5.5231,7.7263,0.0215,130.3095,7.6079,0.4149,0.3731,7.2401,22.3938
Insect Infestation,40.7175,7.7071,8.0027,0.0182,108.4401,7.0771,0.4427,0.4046,7.7184,22.6399
Healthy,41.62,6.0024,6.1812,0.0378,74.3416,7.6071,0.3571,0.2664,5.737,22.8701
Tungro,38.9056,7.1583,4.2644,0.043,500.686,7.6314,0.4855,0.4808,10.0682,22.0348
Insect Infestation,42.6088,6.7496,6.129,0.1072,102.4194,8.319,0.5107,0.4098,9.868,25.6947
Leaf-folder Injury,43.1244,1.6311,8.4115,0.0065,113.5186,7.6088,0.4036,0.3182,6.4909,23.286
Healthy,40.8456,5.6314,7.815,0.0189,124.9792,7.5903,0.4262,0.3756,7.2377,22.3487
Blast,38.2277,10.3465,6.0474,0.0818,59.8941,8.103,0.4745,0.4296,12.7696,24.9524
Leaf-folder Injury,44.5922,5.5239,5.8575,0.0382,56.4134,7.501,0.4467,0.3605,6.7874,23.4028
Leaf-folder Injury,32.39,8.17,4.79,0.07,1329.14,7.3675,0.6775,0.6925,12.4525,21.715
Leaf-folder Injury,36.5068,10.4742,6.1867,0.0532,171.8385,7.9159,0.4657,0.4279,11.678,23.9584
Healthy,43.7824,6.9759,8.8224,0.0376,101.8945,6.9474,0.3919,0.3337,7.2855,24.8202
Insect Infestation,38.8292,6.6667,4.9838,0.0414,200.2621,6.9058,0.4538,0.3947,9.2954,24.443
Blast,41.1388,6.3522,7.1348,0.0223,163.1667,8.7405,0.4362,0.3998,7.1114,21.3868
Tungro,43.8705,6.9338,9.2064,0.0397,99.7029,6.907,0.3944,0.3367,7.2839,24.6308
Stripes,32.9119,8.9079,6.5668,0.0441,807.1965,7.665,0.6668,0.6418,13.7136,22.9166
Healthy,35.7611,8.2416,0.9332,0.0043,191.1361,7.4017,0.4697,0.4643,11.5807,22.4838
Healthy,40.8254,5.5327,7.7334,0.0205,121.6563,7.6213,0.4202,0.3774,7.2353,22.3975
Leaf-folder Injury,36.6775,8.4617,3.7319,0.0487,408.1444,7.8405,0.5438,0.5341,11.1632,22.3133
Insect Infestation,44.0741,6.1774,6.4201,0.1014,56.265,7.3633,0.4578,0.3903,7.8532,23.9576
Insect Infestation,41.5273,6.0629,4.617,0.0594,253.1831,8.1,0.5018,0.4686,9.1799,21.8624
Healthy,39.0556,6.4506,1.3118,0.0321,75.2868,8.4054,0.4116,0.3555,7.9728,22.0572
Insect Infestation,42.19,7.2,7.94,0.01,138,7,0.4425,0.4175,8.84,22.59
Leaf-folder Injury,41.8205,6.4376,6.7662,0.0419,81.2353,7.568,0.3547,0.2609,5.8519,22.7953
Tungro,38.2418,8.1409,4.8366,0.0586,501.2502,7.7176,0.4929,0.49,10.933,23.2114
Blast,41.0072,5.6397,7.8065,0.0189,121.0469,7.538,0.4152,0.3698,7.1347,22.4031
Blast,44.7399,5.0365,5.8544,0.0381,51.8134,7.4755,0.4473,0.3575,6.8335,23.5288
Blast,38.674,7.8296,4.3354,0.027,419.6722,7.6042,0.4419,0.4436,9.9789,22.6654
Healthy,41.1933,5.6445,7.7227,0.0196,122.5494,7.5793,0.4198,0.3775,7.2683,22.4933
Tungro,43.9655,8.2945,6.5036,0.0475,131.5367,7.1851,0.5098,0.4004,11.3156,26.9049
Healthy,43.4567,7.1419,8.0008,0.0536,36.3212,7.4755,0.4371,0.3848,7.1754,22.876
Tungro,36.897,8.3645,3.1261,0.0503,391.885,7.8017,0.5469,0.5246,10.9838,22.401
Blast,39.3993,5.2717,5.9334,0.1266,323.5358,7.7471,0.5563,0.5049,11.1124,24.3206
Blast,40.9259,5.5451,7.8051,0.0175,122.1277,7.6014,0.4182,0.3703,7.259,22.3863
Blast,39.4401,7.8312,6.9697,0.0509,158.1758,7.409,0.4041,0.3746,8.091,23.4683
Blast,41.0704,5.7446,7.7253,0.0164,139.1676,7.6022,0.4191,0.3735,7.4866,22.3431
Scald,43.7957,7.6438,7.8285,0.0476,36.3326,7.4117,0.4394,0.377,7.2235,23.0154
Stripes,43.8333,6.9318,9.2637,0.0407,100.5273,6.9529,0.3948,0.3475,7.3623,24.8621
Blast,43.4622,7.6957,7.7717,0.05,33.9508,7.427,0.4383,0.3729,7.1765,22.9383
Stripes,41.3557,5.6515,7.574,0.0214,127.131,7.6097,0.4138,0.3691,7.4419,22.2431
Blast,44.8051,5.4835,5.8742,0.0375,52.2639,7.4836,0.4436,0.3626,6.8056,23.3657
Leaf-folder Injury,43.4919,7.5271,8.011,0.0489,36.19,7.4505,0.4376,0.3791,7.1075,22.9513
Tungro,37.1355,8.4731,3.5096,0.057,382.5841,7.9219,0.5381,0.5239,10.8687,22.2501
Blast,40.2183,3.9452,5.0924,0.0787,176.3481,8.0195,0.4783,0.4588,10.0917,23.4647
Stripes,41.0462,5.6194,7.5792,0.0214,130.0825,7.5653,0.4194,0.3728,7.1484,22.352
Blast,40.5449,6.4172,7.0933,0.0228,101.1287,7.2927,0.4254,0.3901,7.9069,22.546
Scald,41.7775,7.8457,6.125,0.0406,90.7349,7.3526,0.479,0.4328,9.3448,24.429
Scald,39.0773,8.0656,9.3537,0.0084,106.7742,7.3403,0.4406,0.4135,9.1451,23.262
Blast,33.8165,5.9513,3.7672,0.0335,618.3004,7.4984,0.6776,0.7133,12.4499,21.237
Healthy,40.0487,10.1563,1.2261,0.0108,48.7473,8.4259,0.4379,0.4113,9.5465,22.4916
Scald,43.366,2.2235,6.9409,0.0194,82.8247,7.4267,0.4342,0.3503,7.112,23.9383
Stripes,42.6208,6.88,7.9047,0.0127,65.9339,7.4655,0.4104,0.3414,7.4563,23.4278
Tungro,36.3526,10.5561,5.5818,0.0461,171.4242,7.9242,0.4643,0.4297,11.6598,24.1525
Tungro,40.0015,5.995,6.8925,0.0082,70.9399,7.2113,0.4148,0.376,7.9214,22.8473
Scald,43.0782,7.3504,5.6286,0.0914,119.5301,7.025,0.535,0.5011,10.2181,23.5844
Scald,40.5567,6.2109,7.0935,0.0186,104.7514,7.3273,0.4247,0.3945,7.8892,22.3101
Blast,38.9083,7.7928,3.9066,0.0336,387.7264,7.6584,0.45,0.4359,10.1822,22.9291
Leaf-folder Injury,38.0324,7.3123,5.6636,0.0117,232.3934,7.7023,0.4527,0.4306,8.1201,22.4054
Insect Infestation,41.0434,5.5552,7.7621,0.0203,123.4767,7.6076,0.4156,0.361,7.2449,22.3349
Healthy,41.3578,10.0281,7.3731,0.0799,92.3755,7.4839,0.4133,0.366,7.648,23.3441
Stripes,36.227,9.5192,7.0363,0.0438,144.5126,7.8373,0.5024,0.4677,11.8974,23.7419
Healthy,43.6639,7.2072,8.0034,0.049,36.9504,7.4888,0.4404,0.3736,7.0815,22.8555
Stripes,41.1718,5.5771,7.7856,0.0203,131.444,7.5516,0.4147,0.3685,7.2817,22.3225
Scald,43.8117,7.0389,9.3366,0.043,94.9361,6.9377,0.4013,0.338,7.1936,24.8469
Leaf-folder Injury,43.9504,8.0378,6.4382,0.0558,142.1735,7.0807,0.5058,0.4065,11.2642,27.123
Tungro,43.3568,2.4248,6.9164,0.0222,84.2537,7.4963,0.4382,0.3439,7.1851,24.0387
Scald,36.9596,8.9836,1.0276,0.0219,137.7792,8.0994,0.4277,0.3906,10.2668,22.5357
Leaf-folder Injury,40.8044,5.6467,7.6367,0.0203,123.9936,7.5851,0.4153,0.3729,7.143,22.3884
Blast,32.5167,8.2288,4.884,0.0696,1348.3658,7.3219,0.6776,0.6878,12.4403,21.6867
Blast,40.9114,5.6375,7.7158,0.0196,124.4909,7.5755,0.4192,0.3739,7.2636,22.4634
Healthy,35.7227,9.3333,1.6165,0.0272,239.2093,8.0084,0.4425,0.4288,9.3087,21.4852
Healthy,40.8665,5.666,7.6695,0.0206,130.9549,7.5527,0.4168,0.3667,7.4036,22.4741
Insect Infestation,41.7128,6.0185,6.5871,0.0431,82.1766,7.6458,0.3566,0.2556,5.8038,22.8192
Healthy,43.9293,7.3611,4.7334,0.063,44.5847,7.5351,0.5342,0.3919,9.3756,25.7947
Insect Infestation,36.6458,9.5408,7.0658,0.0336,141.6133,7.7601,0.5027,0.4622,12.0061,23.7582
Healthy,36.247,7.5413,4.2373,0.0579,736.3906,7.0508,0.5737,0.5671,12.6573,23.2809
Leaf-folder Injury,40.8867,5.7236,7.7273,0.0208,127.3266,7.6207,0.4179,0.37,7.2577,22.3846
Leaf-folder Injury,38.4558,7.4352,4.8327,0.0374,419.0044,7.099,0.6051,0.6033,11.3986,21.7102
Leaf-folder Injury,36.8336,7.9561,4.74,0.0143,422.4381,7.4685,0.5854,0.5789,11.6797,21.7266
Tungro,43.418,2.3122,6.8264,0.0235,82.3007,7.4617,0.4398,0.3479,7.0202,24.0823
Insect Infestation,36.3303,10.7118,5.9727,0.0536,318.2017,8.0508,0.5337,0.5303,12.6426,23.3146
Leaf-folder Injury,37.9152,7.6912,4.9672,0.0589,350.2311,8.1223,0.4861,0.4809,9.9913,22.0213
Leaf-folder Injury,41.1279,5.5199,7.6891,0.0227,119.9322,7.5865,0.4131,0.3793,7.2454,22.3593
Insect Infestation,42.6476,6.7426,7.5021,0.0071,59.6818,7.4231,0.412,0.3435,7.4161,23.4103
Blast,36.5857,9.6809,1.3895,0.0191,144.2286,8.1229,0.4276,0.3921,10.1035,22.7736
Tungro,40.7829,5.6478,7.8859,0.0213,134.8493,7.5759,0.4175,0.3715,7.3106,22.3838
Healthy,36.5977,11.1475,6.4796,0.0842,135.9262,8.1128,0.4529,0.406,12.802,25.0201
Blast,33.1877,9.169,1.1544,0.0164,737.255,7.8804,0.5684,0.597,11.8596,21.3157
Scald,40.1796,10.5107,1.5793,0.0065,50.3664,8.4216,0.4329,0.4067,9.4735,22.5832
Blast,35.7497,5.8465,1.3478,0.0056,343.2148,7.8636,0.5419,0.554,11.4549,21.1685
Blast,46.5214,6.4451,6.5167,0.0427,146.8902,6.562,0.5325,0.5033,8.6274,22.7175
Stripes,38.7964,7.5285,4.7309,0.0403,382.8348,7.1507,0.6024,0.6013,11.3187,21.6719
